ComplaintID,BuildingID,BoroughID,Borough,HouseNumber,StreetName,Zip,Block,Lot,Apartment,CommunityBoard,ReceivedDate,StatusID,Status,StatusDate
5512999,23493,1,MANHATTAN,244,LENOX AVENUE,10027,1721,3,14,10,02/25/2011,2,CLOSE,03/22/2011
5531806,394748,3,BROOKLYN,3021,WEST 25 STREET,11224,7070,1,8B,13,03/11/2011,2,CLOSE,02/20/2015
5551520,42023,1,MANHATTAN,235,WEST 146 STREET,10039,2032,10,1A,10,03/28/2011,2,CLOSE,04/02/2011
5561190,806921,2,BRONX,2830,SCHLEY AVENUE,10465,5564,1,1C,10,04/05/2011,2,CLOSE,02/20/2015
5581829,89503,2,BRONX,935,KELLY STREET,10459,2703,18,5G,2,04/26/2011,2,CLOSE,10/14/2011
5581935,806411,2,BRONX,601,CROTONA PARK NO,10457,2944,1,BLDG,6,04/26/2011,2,CLOSE,02/20/2015
5605240,40670,1,MANHATTAN,269,WEST 134 STREET,10030,1940,7,6,10,05/26/2011,2,CLOSE,06/06/2011
5618779,89503,2,BRONX,935,KELLY STREET,10459,2703,18,4E,2,06/15/2011,2,CLOSE,10/14/2011
5618626,806411,2,BRONX,601,CROTONA PARK NO,10457,2944,1,6D,6,06/15/2011,2,CLOSE,02/20/2015
5677118,21819,1,MANHATTAN,452,FT WASHINGTON AVENUE,10033,2176,100,54,12,09/02/2011,2,CLOSE,09/15/2011
5683073,803904,1,MANHATTAN,2406,8 AVENUE,10027,1933,1,1A,10,09/12/2011,2,CLOSE,02/20/2015
5689242,394747,3,BROOKLYN,2926,WEST 25 STREET,11224,7053,12,706E,13,09/21/2011,2,CLOSE,02/20/2015
5695317,21819,1,MANHATTAN,452,FT WASHINGTON AVENUE,10033,2176,100,52,12,09/29/2011,2,CLOSE,10/18/2011
5719736,877718,4,QUEENS,67-28,PARSONS BOULEVARD,11365,6792,30,1C,8,10/26/2011,2,CLOSE,02/20/2015
5721550,29016,1,MANHATTAN,273,WADSWORTH AVENUE,10033,2166,69,52,12,10/27/2011,2,CLOSE,10/28/2011
5733660,89497,2,BRONX,916,KELLY STREET,10459,2711,6,1B,2,10/31/2011,2,CLOSE,11/14/2011
5735096,847222,1,MANHATTAN,11-15,FDR DRIVE,10009,367,1,14G,3,10/31/2011,2,CLOSE,02/20/2015
5735703,21819,1,MANHATTAN,452,FT WASHINGTON AVENUE,10033,2176,100,54,12,11/01/2011,2,CLOSE,11/13/2011
5737879,88674,2,BRONX,625,JEFFERSON PLACE,10456,2935,1,1A,3,11/02/2011,2,CLOSE,11/16/2011
5740187,445903,4,QUEENS,39-23,57 STREET,11377,1228,38,3D,2,11/03/2011,2,CLOSE,11/10/2011
5745878,806084,1,MANHATTAN,49,WEST 225 STREET,10463,2215,116,22G,8,11/06/2011,2,CLOSE,02/20/2015
5747032,702536,4,QUEENS,40-01,VERNON BOULEVARD,11101,470,1,2A,1,11/07/2011,2,CLOSE,02/20/2015
5749801,88674,2,BRONX,625,JEFFERSON PLACE,10456,2935,1,2C,3,11/09/2011,2,CLOSE,11/16/2011
5753615,805761,1,MANHATTAN,133,WEST 90 STREET,10024,1221,7,16G,7,11/12/2011,2,CLOSE,02/20/2015
5757720,445902,4,QUEENS,39-21,57 STREET,11377,1228,40,C3,2,11/16/2011,2,CLOSE,11/18/2011
5759627,21819,1,MANHATTAN,452,FT WASHINGTON AVENUE,10033,2176,100,54,12,11/17/2011,2,CLOSE,11/18/2011
5759266,10490,1,MANHATTAN,245,EAST 2 STREET,10009,384,27,3W,3,11/17/2011,2,CLOSE,11/18/2011
5759511,10490,1,MANHATTAN,245,EAST 2 STREET,10009,384,27,6,3,11/17/2011,2,CLOSE,11/18/2011
5759488,808573,3,BROOKLYN,215,HOYT STREET,11217,404,1,8E,6,11/17/2011,2,CLOSE,02/20/2015
5761117,811814,4,QUEENS,82-10,ROCKAWAY BEACH BOULEVARD,11693,16114,2,BLDG,14,11/18/2011,2,CLOSE,02/20/2015
5774290,10490,1,MANHATTAN,245,EAST 2 STREET,10009,384,27,3W,3,11/28/2011,2,CLOSE,12/22/2011
5782703,864103,1,MANHATTAN,50,PALADINO AVENUE,10035,1808,1,9F,11,12/03/2011,2,CLOSE,02/20/2015
5787572,804778,1,MANHATTAN,60,ESSEX STREET,10002,351,1,10D,3,12/07/2011,2,CLOSE,02/20/2015
5796627,807823,3,BROOKLYN,2356,BRAGG STREET,11229,7408,1,BLDG,15,12/12/2011,2,CLOSE,02/20/2015
