"addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_num","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","juris_desc","ky_cd","lat_lon_latitude","lat_lon_longitude","latitude","law_cat_cd","loc_of_occur_desc","longitude","ofns_desc","pd_cd","pd_desc","prem_typ_desc","rpt_dt","x_coord_cd","y_coord_cd"
14,"MANHATTAN","2016-09-01T00:00:00","12:00:00",488691427,"2018-05-22T00:00:00","12:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",112,40.74943967,-73.986925574,40.74943967,"FELONY","INSIDE",-73.986925574,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","2018-05-22T00:00:00",987873.0,212315.0
14,"MANHATTAN","2016-09-06T00:00:00","20:00:00",968862224,"2016-09-06T00:00:00","20:30:00","COMPLETED",NULL,"N.Y. POLICE DEPT",233,40.753938938,-73.994843655,40.753938938,"MISDEMEANOR","INSIDE",-73.994843655,"SEX CRIMES",175.0,"SEXUAL ABUSE 3\,2","RESIDENCE - APT. HOUSE","2018-05-17T00:00:00",985679.0,213954.0
13,"MANHATTAN","2016-01-08T00:00:00","12:00:00",851536595,"2016-01-08T00:00:00","12:05:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.743511609,-73.994227355,40.743511609,"FELONY","INSIDE",-73.994227355,"GRAND LARCENY",439.0,"LARCENY\,GRAND FROM OPEN AREAS\, UNATTENDED","RESIDENCE - APT. HOUSE","2018-05-17T00:00:00",985850.0,210155.0
14,"MANHATTAN","2016-10-26T00:00:00","08:00:00",736942748,"2018-04-27T00:00:00","16:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.750411107,-73.985236286,40.750411107,"FELONY","INSIDE",-73.985236286,"GRAND LARCENY",407.0,"LARCENY\,GRAND BY DISHONEST EMP","COMMERCIAL BUILDING","2018-05-14T00:00:00",988341.0,212669.0
19,"MANHATTAN","2016-06-02T00:00:00","12:00:00",537199647,"2018-04-17T00:00:00","17:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.763873723,-73.96042599,40.763873723,"FELONY","INSIDE",-73.96042599,"GRAND LARCENY",420.0,"LARCENY\,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","RESIDENCE - APT. HOUSE","2018-05-14T00:00:00",995213.0,217576.0
18,"MANHATTAN","2016-11-08T00:00:00","20:00:00",654645618,NULL,NULL,"COMPLETED",NULL,"N.Y. POLICE DEPT",233,40.764818269,-73.985189773,40.764818269,"MISDEMEANOR","INSIDE",-73.985189773,"SEX CRIMES",175.0,"SEXUAL ABUSE 3\,2","HOTEL/MOTEL","2018-05-13T00:00:00",988353.0,217918.0
7,"MANHATTAN","2016-11-16T00:00:00","15:00:00",870003814,"2018-05-10T00:00:00","12:19:00","COMPLETED",NULL,"N.Y. POLICE DEPT",578,40.721822019,-73.987479351,40.721822019,"VIOLATION","INSIDE",-73.987479351,"HARRASSMENT 2",638.0,"HARASSMENT\,SUBD 3\,4\,5","RESIDENCE - APT. HOUSE","2018-05-10T00:00:00",987721.0,202253.0
6,"MANHATTAN","2016-11-06T00:00:00","01:30:00",975869468,"2016-11-06T00:00:00","02:00:00","ATTEMPTED",NULL,"N.Y. POLICE DEPT",104,40.734226128,-74.005406689,40.734226128,"FELONY","INSIDE",-74.005406689,"RAPE",159.0,"RAPE 1\,ATTEMPT","RESIDENCE - APT. HOUSE","2018-05-10T00:00:00",982752.0,206772.0
25,"MANHATTAN","2016-12-01T00:00:00","00:01:00",620172690,"2016-12-24T00:00:00","23:59:00","COMPLETED","LINCOLN","N.Y. HOUSING POLICE",104,40.800694331,-73.941109286,40.800694331,"FELONY","INSIDE",-73.941109286,"RAPE",155.0,"RAPE 2","RESIDENCE - PUBLIC HOUSING","2018-05-08T00:00:00",1000555.0,230994.0
14,"MANHATTAN","2016-12-30T00:00:00","09:00:00",809715786,NULL,"10:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",361,40.746161946,-73.98312599,40.746161946,"MISDEMEANOR","INSIDE",-73.98312599,"OFF. AGNST PUB ORD SENSBLTY &",639.0,"AGGRAVATED HARASSMENT 2","COMMERCIAL BUILDING","2018-05-04T00:00:00",988926.0,211121.0
25,"MANHATTAN","2016-12-05T00:00:00","14:00:00",744548390,"2016-12-05T00:00:00","14:30:00","COMPLETED",NULL,"N.Y. POLICE DEPT",340,40.804046007,-73.936620103,40.804046007,"MISDEMEANOR","INSIDE",-73.936620103,"FRAUDS",718.0,"FRAUD\,UNCLASSIFIED-MISDEMEANOR","PUBLIC BUILDING","2018-05-03T00:00:00",1001797.0,232216.0
34,"MANHATTAN","2016-09-10T00:00:00","07:00:00",545836263,"2016-09-10T00:00:00","08:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.867857829,-73.919085298,40.867857829,"FELONY","FRONT OF",-73.919085298,"GRAND LARCENY",439.0,"LARCENY\,GRAND FROM OPEN AREAS\, UNATTENDED","MAILBOX OUTSIDE","2018-05-03T00:00:00",1006630.0,255469.0
19,"MANHATTAN","2016-09-01T00:00:00","09:00:00",644019123,"2017-04-30T00:00:00","16:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.767348727,-73.960896849,40.767348727,"FELONY","INSIDE",-73.960896849,"GRAND LARCENY",420.0,"LARCENY\,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","RESIDENCE - APT. HOUSE","2018-05-03T00:00:00",995082.0,218842.0
19,"MANHATTAN","2016-07-10T00:00:00","12:00:00",434726643,"2018-04-18T00:00:00","12:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.776704532,-73.951059671,40.776704532,"FELONY","INSIDE",-73.951059671,"GRAND LARCENY",412.0,"LARCENY\,GRAND FROM RESIDENCE\, UNATTENDED","RESIDENCE - APT. HOUSE","2018-05-02T00:00:00",997805.0,222252.0
